name,place_id,latitude,longitude,address,rating
Rwaj Veterinary Clinic,ChIJj76agN0TLxgR4otNA3SE184,-1.2940532,36.8759292,"The Point Mall, Rabai Rd, Nairobi, Kenya",4.2
UON Upper kabete Small Animal Clinic,ChIJ1aXzvwMZLxgRVPhowwHB1RA,-1.2529229,36.7324287,"PPWJ+QXV, Loresho Ridge, Nairobi City, Kenya",3.5
FAMILY VETCARE CLINIC,ChIJ8ali7mgRLxgRZkYCHkQV5Es,-1.2991973,36.7877352,"Nairobi, Kenya",5
Companion Veterinary Clinic,ChIJDTHgzzkRLxgR2nHVHRt6fd8,-1.2554454,36.8280598,"PRVH+R73, City Park Dr, Nairobi, Kenya",4.6
Sercombe Veterinary Surgeons,ChIJ8eazqTEbLxgRkO3dSfJrhT8,-1.3381158,36.7254856,"469 Langata Rd, Nairobi, Kenya",4.8
Mufasa Veterinary Clinic,ChIJD4P_nvkRLxgRavUpnLsly_U,-1.2956456,36.7853481,"Taranaki Court, Chania Avenue, off Ring Rd, Kenya",5
Noble Veterinary Surgeons - Thika Road,ChIJkdshlbo_LxgRBdRBqpE3VgM,-1.1676792,36.9398466,"Umoja Rd, Kiambu, Kenya",4.9
Ducknet Veterinary clinic -Lavington,ChIJiwUSA8QZLxgRfoIMfr4Tih0,-1.2620935,36.7750405,"Kanjata Rd, Nairobi, Kenya",4.9
Mapvet Veterinary Services,ChIJ2diUT4k9LxgRwVERQStYpmc,-1.301029,36.7856745,"Ngong Rd, Nairobi, Kenya",5
"Hardy Veterinary Clinic,& Pet Relocation",ChIJWwYL97QFLxgRoVoFucwgOLQ,-1.3633403,36.739849,"Kongoni Rd, Nairobi, Kenya",4.7
Mombasa Road Veterinary Clinic,ChIJ68ly2M0NLxgRSI45IAUawQk,-1.3689905,36.937638,"Katani Road, Nairobi, Kenya",4.3
Acacia Veterinary Clinic,ChIJvSLuHcIbLxgRj1PC5A3piIA,-1.3101675,36.7031173,"Miotoni Rd, Nairobi, Kenya",4.5
Anivale Veterinary Clinic,ChIJ5WI-ZAkbLxgR2NMNjuyXJcw,-1.2952673,36.7791572,"Elgeyo Rd, Nairobi, Kenya",5
Shifaz Veterinary Clinic,ChIJE0YLr1kXLxgROK6Z5ETWjP0,-1.2304814,36.8045317,"Parklands/Highridge Limuru Road Village Market, Nairobi, Kenya",4.5
Petville Veterinary Clinic- Thigiri,ChIJvRpDNQAXLxgRQLC5hnbx9VA,-1.2363712,36.7936692,"New Muthaiga Mall Thigiri Ridge Rd, Nairobi, Kenya",5
KENYA ANIMAL GENETIC RESOURCES CENTRE,ChIJ-Vldut8XLxgRpmjhfmgrOIg,-1.2611773,36.8146165,"Parklands/Highridge, Kenya",4
Dr. Nonee Magre Veterinary Clinic,ChIJs00a7KQbLxgRn8Va_uZ3fPA,-1.3347447,36.7121279,"MP86+3V6, Marula Ln, Nairobi, Kenya",4.8
MOBIVET VETERINARY CLINIC - REDHILL NYARI,ChIJz_n2ZvgXLxgRMMpMjBPbQPw,-1.2249367,36.7910138,"Astrol Square, Opposite Hospital Hill Secondary School, along Redhill Road, Nairobi, Kenya",5
VET on CALL Healthcare Limited,ChIJdayLGwAbLxgRvyGrrCq3ln4,-1.2979375,36.76493749999999,"Nairobi, Kenya",4.8
Noble Veterinary Surgeons - Ridgeways,ChIJfyP0pP0XLxgRTaLSzEns2lI,-1.2196637,36.8433573,"Jacaranda Cl, Nairobi, Kenya",4.9
Lynden Veterinary Clinic Ngong,ChIJVdmugtUDLxgRVqbZwUXumJk,-1.3501094,36.6601906,"Kony House, Karen - Ngong Road Nairobi KE, Kenya",4.3
VET on CALL Healthcare Limited,ChIJxdewZEIdLxgRnJqER-HVIgI,-1.2169464,36.8121252,"Nairobi, Kenya",5
Musa-Vet,ChIJx3T5d6AYLxgRiuY5lHdndqs,-1.2207043,36.7138335,"Wamakumi Rd, Wangige, Kenya",5
Ela Veterinary Clinic,ChIJL_DQSLYiLxgR3YgyRdZ3hus,-1.199791,36.756874,"Ruaka, Kenya",4.4
Kiambu Road Veterinary Clinic,ChIJG7cJ6K8XLxgRbRYrb6qDO2A,-1.2298836,36.8020443,"Karuri, Kenya",2.3
"The Andys Veterinary Clinic, Kiambu Road",ChIJDTR9LAA9LxgR6tFGtodH3gg,-1.1970625,36.8366875,"HighView Plaza, Kiambu Rd, Kiambu, Kenya",5
Aesthetics Ltd,ChIJC8TnwrkRLxgR8WpLuK7CpF4,-1.2954961,36.8397149,"House of Aesthetics, Pemba St, Nairobi, Kenya",4.3
Veterinary Department,ChIJ-TBe1acaLxgRijAY1RFUAZM,-1.3346768,36.7792744,"MQ8H+4PC, Animal Orphanage Road, Nairobi, Kenya",4.7
